JSON,ALGORITHM,BUILD_TIME_SECONDS
google_map_large_record_(1.1GB),SERDE,11.21755
google_map_large_record_(1.1GB),rq-legacy,0
google_map_large_record_(1.1GB),rq-lut-cutoff-0,0.68384
google_map_large_record_(1.1GB),rq-lut-cutoff-512,0.49180
nspl_large_record_(1.2GB),SERDE,13.59529
nspl_large_record_(1.2GB),rq-legacy,0
nspl_large_record_(1.2GB),rq-lut-cutoff-0,0.39059
nspl_large_record_(1.2GB),rq-lut-cutoff-512,0.36106
twitter_large_record_(843MB),SERDE,9.78855
twitter_large_record_(843MB),rq-legacy,0
twitter_large_record_(843MB),rq-lut-cutoff-0,0.41719
twitter_large_record_(843MB),rq-lut-cutoff-512,0.33240
walmart_large_record_(995MB),SERDE,5.50456
walmart_large_record_(995MB),rq-legacy,0
walmart_large_record_(995MB),rq-lut-cutoff-0,0.31894
walmart_large_record_(995MB),rq-lut-cutoff-512,0.31645
wiki_large_record_(1.1GB),SERDE,19.90623
wiki_large_record_(1.1GB),rq-legacy,0
wiki_large_record_(1.1GB),rq-lut-cutoff-0,1.09932
wiki_large_record_(1.1GB),rq-lut-cutoff-512,0.63506
