name,input_size_bytes,num_keys,hash_map_double_BUILD,hash_map_double_QUERY,hash_map_double_HEAP,ptr_hash_double_BUILD,ptr_hash_double_QUERY,ptr_hash_double_HEAP,#2048_λ=1:phf_group_BUILD,#2048_λ=1:phf_group_QUERY,#2048_λ=1:phf_group_HEAP,#2048_λ=5:phf_group_BUILD,#2048_λ=5:phf_group_QUERY,#2048_λ=5:phf_group_HEAP,
bestbuy_large_record_(1GB),1044619305,6799457,0.7612161126666667,0.6096283627999999,142606436,0.5098321576666667,0.1372206624,15641658,1.1253311506666666,0.5535067826,68289530,0.7325344246666666,0.44480560599999996,24779554,
crossref1_(551MB),550523996,5789238,0.5848120926666667,0.517618903,142615072,0.4017118513333333,0.1113023546,13321166,0.8930969446666667,0.4326726778,58197252,0.5583484653333334,0.36844902879999997,21152572,
crossref2_(1.1GB),1075392435,11451863,1.2371047276666667,1.1351767116,285230112,0.752046509,0.2452251696,26351324,1.761792817,1.1360781603999999,114834614,1.1048937826666667,0.7798291458000001,41548246,
crossref4_(2.1GB),2072171741,22476255,2.7084034513333335,2.5738259656,570460192,1.4348544936666665,0.597313133,51717389,3.4633573956666672,2.807114336,225094014,2.1781699973333333,2.1961919494,81249134,
google_map_large_record_(1.1GB),1136069010,10401370,1.1987554763333335,1.0638642437999999,285769760,0.730850667,0.2165264498,24131434,1.674003057,0.9965789956,104898172,1.0807534706666666,0.6921223876,38185332,
nspl_large_record_(1.2GB),1210219151,3510428,0.4940766886666667,0.243826492,71303268,0.399740982,0.06044666900000001,8075488,0.726188542,0.236043511,35399240,0.5164414583333333,0.2175655484,12939008,
twitter_large_record_(843MB),842634887,4676467,0.5915674593333333,0.40534644340000003,142606436,0.4349636273333333,0.0857976382,10757878,0.8373863036666666,0.3271611734,47059606,0.5767710773333333,0.29533165720000004,17136870,
walmart_large_record_(995MB),995350329,362598,0.3010941913333333,0.012615173599999998,8912996,0.316754562,0.0027923352,834202,0.34176649933333336,0.0181780472,3920940,0.32615143933333335,0.012929823000000002,1606940,
wiki_large_record_(1.1GB),1098988355,23827952,2.564411711,2.7618876791999996,570427552,1.2120082840000002,0.6565047258,54814961,3.3014405559999997,2.9994396606000002,238576880,1.9474003676666667,2.3689856878,86084640,
